stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding,location_type,parent_station
PG1030,,PG1030-Avenida América / esq. Avenida Balmaceda,-33.58522700005595,-70.70629000039546,,0,,
PG1037,,PG1037-Avenida América / esq. Avenida Lo Blanco,-33.57329536083791,-70.70094392892734,,0,,
PG1901,,PG1901-Camino La Vara / esq. Claudio Gay,-33.5668218505154,-70.7031287749804,,0,,
PG1765,,PG1765-Av. Pdte. J. Alessandri R. / esq. Cam. La Vara Int.-Sur,-33.566285987422674,-70.71123055355555,,0,,
PG88,,PG88-Av. Pdte. J. Alessandri R. / esq. Cam. Las Acacias,-33.5595850001526,-70.71007399946973,,0,,
PA82,,PA82-Manuel Rodríguez / esq. Agustinas,-33.4420780002891,-70.65972599985304,,0,,
PA190,,PA190-Parada 10 / (M) Santa Ana,-33.43799000020936,-70.66033500042239,,0,,
PG73,,PG73-Av. Pdte. J. Alessandri R. / esq. La Vara,-33.56698598724546,-70.71196666444287,,0,,
PG1062,,PG1062-Avenida América / esq. Polpaico,-33.57416774068228,-70.70143990960132,,0,,
PG1068,,PG1068-Avenida América / esq. Avenida Balmaceda,-33.58474254917028,-70.70622510419119,,0,,
PG1638,,PG1638-Urmeneta / esq. Bernardo O'Higgins,-33.590969003343446,-70.70621778373324,,0,,
PG975,,PG975-1° de Mayo / esq. Gerardo Besoain,-33.60245999972171,-70.70867900048724,,0,,
PG261,,PG261-Parada 2 / Est.Maestranza,-33.606809999641655,-70.69732199953127,,0,,
PG1718,,PG1718-Avenida Portales / esq. M.Toro y Zambrano,-33.615596999891096,-70.69768700012614,,0,,
PG906,,PG906-El Topacio / esq. General Urrutia,-33.61678564287874,-70.70325592493147,,0,,
PG1898,,PG1898-General Urrutia / esq. Nva.Barros Arana,-33.615662084892314,-70.70644902998143,,0,,
PG1900,,PG1900-General Urrutia / esq. Colbún,-33.615025642312744,-70.70817686714534,,0,,
PG2082,,PG2082-Camino La Vara / esq. Pasaje Macoche,-33.567042623428485,-70.70606083434373,,0,,
PG2083,,PG2083-Camino La Vara / esq. Pasaje Toconao,-33.56685983101689,-70.70230844972778,,0,,
PG1059,,PG1059-Camino La Vara / esq. Ochagavía,-33.56662000015284,-70.69823599988793,,0,,
PG1404,,PG1404-Ochagavía / esq. Teniente Merino,-33.565184000179904,-70.6972110004039,,0,,
PG1405,,PG1405-Ochagavía / esq. Ochagavía,-33.56141199965291,-70.69659399974178,,0,,
PG1804,,PG1804-Parada / Condominio Aires del Sur,-33.55495517028549,-70.6925102667602,,0,,
PG1406,,PG1406-Ochagavía / esq. Millantu,-33.55298200013833,-70.69160399977325,,0,,
PG1712,,PG1712-Ochagavía / esq. El Pillan,-33.55112399992041,-70.69075600031033,,0,,
PG1407,,PG1407-El Pillán / esq. Indio Jerónimo,-33.55158267610388,-70.68900195504351,,0,,
